"Tag","Class","RegistryKey","SlotCount","SlotTypes","SlotDetail"
"0x80B2F6FA","0x80809462","0x56FE1F9A","44","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0xD57693F3,54:0x4E96C43A"
"0x80B9A6F1","0x80809462","0x2EA02282","1","19","19:0x4085607B"
"0x80B9A96C","0x80809462","0x601D014E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A975","0x80809462","0xB2FE153E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A97D","0x80809462","0x185DD054","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A986","0x80809462","0x103F5570","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A98E","0x80809462","0xD5BF41C4","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A996","0x80809462","0xAF874D3E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A99D","0x80809462","0xFEA20F32","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9A5","0x80809462","0xEFC71718","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9AE","0x80809462","0xF4E674D1","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9B8","0x80809462","0x58FDD4F2","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9C1","0x80809462","0x8A508D8D","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9C9","0x80809462","0x9F3034DF","4","68 11 53 19","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32,19:0x309D3CBC"
"0x80B9A9D5","0x80809462","0xE40FC4D8","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9DF","0x80809462","0xBBD8102A","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9ED","0x80809462","0x174E433E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9A9F7","0x80809462","0x174E433D","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA01","0x80809462","0xF39845F8","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA09","0x80809462","0xF1FA18FE","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA14","0x80809462","0xE7AACDBF","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA1C","0x80809462","0xE7AACDBC","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA24","0x80809462","0x72508CF1","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA2D","0x80809462","0x8823C1C7","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA34","0x80809462","0x4E1DD64B","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA3D","0x80809462","0x2093BC76","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA48","0x80809462","0x52F2CE4D","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA4F","0x80809462","0x52F2CE4E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA56","0x80809462","0xB4FD7E80","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA5D","0x80809462","0xB7D52922","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA64","0x80809462","0x3567D701","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA6B","0x80809462","0x89BDE458","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA74","0x80809462","0xA93E442F","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA7C","0x80809462","0xA93E442C","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA84","0x80809462","0x3347FDA5","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA8B","0x80809462","0xBE3C948B","4","68 11 53 19","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32,19:0x309D3CBC"
"0x80B9AA92","0x80809462","0xFDA5F129","4","68 11 53 19","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32,19:0x309D3CBC"
"0x80B9AA93","0x80809462","0xC212B330","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AA9D","0x80809462","0x70736FF9","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAA4","0x80809462","0x6A063A88","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAAB","0x80809462","0x234795E2","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAB2","0x80809462","0x234795E1","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAB9","0x80809462","0x234795E0","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAC0","0x80809462","0x81C0171C","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAC7","0x80809462","0x4A9E03AD","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AACE","0x80809462","0xF8EC93D7","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAD5","0x80809462","0xE60E8E81","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AADC","0x80809462","0x31B7F2E8","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAE3","0x80809462","0x952FA7D1","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAEA","0x80809462","0xD76501DA","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAF1","0x80809462","0xBBDC61E7","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AAF9","0x80809462","0x67DDEF14","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB04","0x80809462","0xF6A8E0C3","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB0E","0x80809462","0x438D6B51","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB15","0x80809462","0x8E80BFA7","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB1C","0x80809462","0x8E80BFA4","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB23","0x80809462","0x2F7AAD89","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB2A","0x80809462","0x0BC76937","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB31","0x80809462","0x65C4E3CF","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB38","0x80809462","0xF6A8E0C1","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB3F","0x80809462","0xF6A8E0C2","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB43","0x80809462","0x3C70857B","8","69 69 69 54 54 54 12 12","69:0xCFE898B0,69:0xC440D9A4,69:0x59DCDB27,54:0xCF8FB8C7,54:0x7E49968C,54:0x4638EB9D,12:0x282CB4FC,12:0xB74139D4"
"0x80B9AB63","0x80809462","0x7189341B","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB7A","0x80809462","0x6A5A4C44","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AB7E","0x80809462","0x95739FBF","7","57 69 54 54 54 12 12","57:0xC6905B77,69:0x2E329DF2,54:0x4B3911C5,54:0x41F1B5D1,54:0x2C85004F,12:0x5E9A244C,12:0x4FB851BE"
"0x80B9AB8C","0x80809462","0x3EAD2E07","19","31 30 47 47 60 69 69 69 60 60 54 54 54 54 54 54 12 12 12","31:0x528FAC6D,30:0x98E96277,47:0x60F16C13,47:0xA6BDDC29,60:0xCB1EFC6E,69:0x4C84AE8E,69:0xDF2F306B,69:0xBB86D2C5,60:0x47E86136,60:0x47D87CA5,54:0x10035E68,54:0x5A96FADB,54:0x7A45E092,54:0x8A6CF338,54:0x1328815D,54:0x7A039E59,12:0xD599D53B,12:0xD9BF7D8E,12:0x4DCAC28F"
"0x80B9AB9A","0x80809462","0x21552D68","15","31 31 57 69 69 69 60 60 54 54 54 54 12 12 12","31:0x983D30E5,31:0x101C89EA,57:0xC6905B77,69:0xC21FD532,69:0x1497E759,69:0x2E329DF2,60:0x53CA693C,60:0x8E3A61CB,54:0xD10A636B,54:0x31445C95,54:0x91E835FF,54:0x91E835FC,12:0x0F260CD4,12:0x77B4A964,12:0x5E9A244C"
"0x80B9ABB7","0x80809462","0x00791603","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABBE","0x80809462","0xC343CAFD","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABC5","0x80809462","0x68EAB5F4","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABCC","0x80809462","0xA7B378AB","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABD3","0x80809462","0xD01B638E","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABDA","0x80809462","0x461255AD","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABE1","0x80809462","0x35B81F25","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9ABE8","0x80809462","0x15E1684A","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AC0A","0x80809462","0xCED5C8A0","2","4 70","4:0xE53AF300,70:0x3A2C2625"
"0x80B9AC12","0x80809462","0x6EFA9FF0","5","47 60 54 54 69","47:0xB79A5AF2,60:0xB60AE225,54:0xA106B2FD,54:0x19726297,69:0xF6474707"
"0x80B9AC14","0x80809462","0x9309C17B","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AC15","0x80809462","0x3CA07FAE","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AC16","0x80809462","0xB2FC08D4","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AC17","0x80809462","0xA191F488","3","68 11 53","68:0x916C61E9,11:0xA79F7787,53:0xF04C0F32"
"0x80B9AC35","0x80809462","0x959F18E8","27","30 30 31 31 31 47 57 47 57 47 69 69 69 69 72 60 60 60 54 54 54 54 54 54 12 12 12","30:0xAD5AD4DA,30:0x887B0484,31:0x2CF076D5,31:0xF7067DD6,31:0xC641093D,47:0xC2039D98,57:0xC718E100,47:0x3769A1A0,57:0xB76C4F9A,47:0xF399569C,69:0xC57B97A3,69:0xEA00D077,69:0xD8E988BA,69:0xA0A25578,72:0xF04D9964,60:0xCF0808C1,60:0x9C3BCCD9,60:0x1BA96FD0,54:0x2C988E12,54:0xF3C4E041,54:0x5034E9F9,54:0xAF93DE5B,54:0x0506271A,54:0x08FEC951,12:0x704C6B42,12:0xA4368315,12:0x067158F2"
"0x80B9AC46","0x80809462","0xA48B9D54","20","30 31 57 60 47 69 69 72 72 72 72 72 72 72 72 72 12 54 54 54","30:0xFF511275,31:0x4B24D3DC,57:0x0720C122,60:0x80589612,47:0x47F7EA93,69:0x14EE065B,69:0xE7950C44,72:0xAE44DB7D,72:0xBE9FE67E,72:0x6229348E,72:0x09A2E215,72:0xF2AD01E9,72:0x49D059E1,72:0x887E2952,72:0xC0CA0AE7,72:0xAECF3C6E,12:0xD2B33FC4,54:0x125BB607,54:0x5D49245E,54:0xD3770AB9"
"0x80B9AC4D","0x80809462","0x06BA52AD","13","30 57 69 69 69 72 72 72 72 72 54 54 12","30:0xB8309500,57:0xC718E100,69:0xA7AC0DAA,69:0x45BE5FA4,69:0x14EE065B,72:0x600F6F6E,72:0x5F0F6DFD,72:0x620F7204,72:0x610F709B,72:0x640F7522,54:0xC7F911C7,54:0xE09B7C7E,12:0x7F455FE9"
"0x80B9AC4E","0x80809462","0x451738F7","13","69 69 72 72 12 12 12 12 54 54 54 54 54","69:0x4D559CA7,69:0xFAEE491C,72:0x72313C73,72:0xCF24AF09,12:0xEED9355B,12:0x1D0A2080,12:0x78F29D8A,12:0x407E4F87,54:0x7C787034,54:0xBA7F927B,54:0xBA7F9278,54:0xBA7F9279,54:0x493335BF"
"0x80B9AD73","0x80809462","0x2DA8A034","1","54","54:0x4653DD8E"
"0x80B9AD74","0x80809462","0x4D222395","1","54","54:0x4653DD8E"
"0x80B9AD75","0x80809462","0xE080335B","1","54","54:0x4653DD8E"
"0x80B9AD76","0x80809462","0xEEA8B04F","1","54","54:0xC604E3A1"
"0x80B9AE55","0x80809462","0xBFA86FA3","1","54","54:0xA106B2FD"
"0x80BDB294","0x80809462","0xDB627F30","5","36 69 54 12 12","36:0xF481418E,69:0x768F2741,54:0xC22A4D56,12:0x80F663C6,12:0x6548A58D"
"0x80BE1BCC","0x80809462","0x105206D9","2","4 70","4:0x105117AD,70:0x3A2C2625"
"0x80BE1C09","0x80809462","0xD0A1A958","19","4 23 4 23 4 23 4 23 4 4 23 23 4 4 23 23 70 31 60","4:0xB55DA3E6,23:0x9E474A19,4:0xBA19623C,23:0xA16D252F,4:0x4031B68B,23:0xA62A6004,4:0x616C9DE7,23:0xDE907B68,4:0xF783D40D,4:0x13F4C06D,23:0xD29D2EAE,23:0x9CDDFB4E,4:0x41617307,4:0xC265D6F3,23:0x495A90FC,23:0xBE855088,70:0x3A2C2625,31:0xDC3ACD0F,60:0xACDF015E"
"0x80BE1CE4","0x80809462","0x4EFAB7F9","4","4 4 4 70","4:0x2CB0D857,4:0x2DB0D9C0,4:0x2AB0D4B9,70:0x3A2C2625"
"0x80BE1D6F","0x80809462","0x52695108","31","1 1 1 1 3 70 30 61 66 66 45 45 45 45 45 45 45 45 45 66 44 44 44 44 44 44 44 60 66 66 46","1:0x9D01BC1D,1:0x9E01BD8E,1:0xA001C0A4,1:0x9F01BF3B,3:0x7FF8600E,70:0x3A2C2625,30:0xA6170E31,61:0xBDAFF440,66:0x6466740D,66:0x2A1F5FF4,45:0x67A7BA11,45:0x67A7BA12,45:0x67A7BA13,45:0x67A7BA14,45:0x67A7BA15,45:0x67A7BA16,45:0x67A7BA17,45:0x67A7BA18,45:0x67A7BA19,66:0x05426CEB,44:0xC548598F,44:0x77791BD7,44:0x77791BD4,44:0x77791BD5,44:0x8DFE49EC,44:0x5F5F52F3,44:0x5F5F52F0,60:0x5A6000B4,66:0x24EB5373,66:0x6D13AAFE,46:0xE1F2AD95"
